"SecurityId","OrderId","ClientOrderId","DateTime","Price","Volume","Side"
"1","1","1","2021-04-15 01:26:09.458","1000","87","Sell"
"1","2","3","2021-04-15 01:26:11.141","1001","103","Sell"
"1","3","4","2021-04-15 01:26:11.144","1001","77","Sell"
"1","4","-1","2021-04-15 01:26:11.339","1000","0","Sell"
"1","5","7","2021-04-15 01:26:11.342","1000","27","Sell"
"1","6","8","2021-04-15 01:26:11.345","999","46","Sell"
"1","7","-8","2021-04-15 01:26:11.349","999","0","Sell"
"1","8","-3","2021-04-15 01:26:11.353","1001","0","Sell"
"1","9","11","2021-04-15 01:26:11.356","0","120","Buy"
"1","10","13","2021-04-15 01:26:11.363","1004","28","Sell"
"1","11","15","2021-04-15 01:26:11.368","998","86","Buy"
"1","12","-13","2021-04-15 01:26:11.374","1004","0","Sell"
"1","13","17","2021-04-15 01:26:11.377","999","21","Buy"
"1","14","18","2021-04-15 01:26:11.379","1000","35","Sell"
"1","15","19","2021-04-15 01:26:11.382","1001","221","Sell"
"1","16","20","2021-04-15 01:26:11.385","1000","28","Buy"
"1","17","-17","2021-04-15 01:26:11.390","999","0","Buy"
"1","18","22","2021-04-15 01:26:11.392","997","34","Buy"
"1","19","23","2021-04-15 01:26:11.394","999","85","Buy"
"1","20","24","2021-04-15 01:26:11.397","1001","25","Sell"
"1","21","25","2021-04-15 01:26:11.399","998","131","Buy"
"1","22","26","2021-04-15 01:26:11.402","1000","35","Buy"
"1","23","27","2021-04-15 01:26:11.406","999","28","Buy"
"1","24","29","2021-04-15 01:26:11.412","999","139","Buy"
"1","25","30","2021-04-15 01:26:11.414","1000","36","Sell"
"1","26","31","2021-04-15 01:26:11.417","998","66","Buy"
"1","27","-30","2021-04-15 01:26:11.422","1000","0","Sell"
"1","28","33","2021-04-15 01:26:11.425","1002","130","Sell"
"1","29","34","2021-04-15 01:26:11.427","1000","241","Sell"
"1","30","-19","2021-04-15 01:26:11.432","1001","0","Sell"
"1","31","-22","2021-04-15 01:26:11.438","997","0","Buy"
"1","32","37","2021-04-15 01:26:11.440","999","100","Sell"
"1","33","-34","2021-04-15 01:26:11.445","1000","0","Sell"
"1","34","39","2021-04-15 01:26:11.448","0","165","Sell"
"1","35","40","2021-04-15 01:26:11.450","1000","40","Sell"
"1","36","-24","2021-04-15 01:26:11.455","1001","0","Sell"
"1","37","42","2021-04-15 01:26:11.457","0","72","Buy"
"1","38","-33","2021-04-15 01:26:11.461","1002","0","Sell"
"1","39","44","2021-04-15 01:26:11.464","0","80","Sell"
"1","40","45","2021-04-15 01:26:11.467","1005","45","Sell"
"1","41","46","2021-04-15 01:26:11.470","997","23","Buy"
"1","42","-46","2021-04-15 01:26:11.475","997","0","Buy"
"1","43","48","2021-04-15 01:26:11.477","1006","182","Sell"
"1","44","49","2021-04-15 01:26:11.480","1006","55","Sell"
"1","45","50","2021-04-15 01:26:11.482","1004","36","Sell"
"1","46","51","2021-04-15 01:26:11.486","1005","39","Sell"
"1","47","52","2021-04-15 01:26:11.488","1003","63","Sell"
"1","48","53","2021-04-15 01:26:11.491","999","82","Buy"
"1","49","-45","2021-04-15 01:26:11.496","1005","0","Sell"
"1","50","55","2021-04-15 01:26:11.498","1000","38","Buy"
"1","51","56","2021-04-15 01:26:11.501","0","230","Sell"
"1","52","-25","2021-04-15 01:26:11.506","998","0","Buy"
"1","53","-49","2021-04-15 01:26:11.511","1006","0","Sell"
"1","54","59","2021-04-15 01:26:11.513","0","50","Buy"
"1","55","60","2021-04-15 01:26:11.515","999","416","Buy"
"1","56","-52","2021-04-15 01:26:11.520","1003","0","Sell"
"1","57","-60","2021-04-15 01:26:11.524","999","0","Buy"
"1","58","63","2021-04-15 01:26:11.526","1003","135","Sell"
"1","59","64","2021-04-15 01:26:11.528","1002","41","Sell"
"1","60","65","2021-04-15 01:26:11.531","1003","35","Sell"
"1","61","66","2021-04-15 01:26:11.533","1001","73","Sell"
"1","62","67","2021-04-15 01:26:11.536","1000","20","Sell"
"1","63","68","2021-04-15 01:26:11.539","997","46","Buy"
"1","64","69","2021-04-15 01:26:11.541","997","36","Buy"
"1","65","70","2021-04-15 01:26:11.544","997","39","Buy"
"1","66","71","2021-04-15 01:26:11.545","1001","303","Sell"
"1","67","72","2021-04-15 01:26:11.547","1001","22","Sell"
"1","68","73","2021-04-15 01:26:11.549","1001","73","Sell"
"1","69","-68","2021-04-15 01:26:11.555","997","0","Buy"
"1","70","75","2021-04-15 01:26:11.557","999","48","Sell"
"1","71","-67","2021-04-15 01:26:11.563","1000","0","Sell"
"1","72","77","2021-04-15 01:26:11.565","999","21","Buy"
"1","73","78","2021-04-15 01:26:11.568","999","32","Buy"
"1","74","79","2021-04-15 01:26:11.571","1002","22","Sell"
"1","75","80","2021-04-15 01:26:11.574","1002","22","Sell"
"1","76","-80","2021-04-15 01:26:11.579","1002","0","Sell"
"1","77","-78","2021-04-15 01:26:11.584","999","0","Buy"
"1","78","83","2021-04-15 01:26:11.586","999","31","Buy"
"1","79","84","2021-04-15 01:26:11.589","1002","32","Sell"
"1","80","85","2021-04-15 01:26:11.591","998","285","Buy"
"1","81","-31","2021-04-15 01:26:11.596","998","0","Buy"
"1","82","-83","2021-04-15 01:26:11.601","999","0","Buy"
"1","83","-71","2021-04-15 01:26:11.606","1001","0","Sell"
"1","84","89","2021-04-15 01:26:11.609","1000","30","Sell"
"1","85","90","2021-04-15 01:26:11.611","997","43","Buy"
"1","86","91","2021-04-15 01:26:11.613","1001","357","Sell"
"1","87","92","2021-04-15 01:26:11.615","1001","25","Sell"
"1","88","-65","2021-04-15 01:26:11.620","1003","0","Sell"
"1","89","-91","2021-04-15 01:26:11.625","1001","0","Sell"
"1","90","95","2021-04-15 01:26:11.626","999","23","Buy"
"1","91","96","2021-04-15 01:26:11.629","0","118","Sell"
"1","92","-69","2021-04-15 01:26:11.634","997","0","Buy"
"1","93","98","2021-04-15 01:26:11.636","999","32","Buy"
"1","94","99","2021-04-15 01:26:11.639","1001","202","Sell"
"1","95","-63","2021-04-15 01:26:11.644","1003","0","Sell"
"1","96","-51","2021-04-15 01:26:11.649","1005","0","Sell"
"1","97","-48","2021-04-15 01:26:11.654","1006","0","Sell"
"1","98","103","2021-04-15 01:26:11.656","1001","39","Sell"
"1","99","-50","2021-04-15 01:26:11.660","1004","0","Sell"
"1","100","105","2021-04-15 01:26:11.663","1000","42","Buy"
"1","101","106","2021-04-15 01:26:11.665","0","76","Sell"
"1","102","107","2021-04-15 01:26:11.667","999","156","Buy"
"1","103","-70","2021-04-15 01:26:11.673","997","0","Buy"
"1","104","109","2021-04-15 01:26:11.675","0","106","Buy"
"1","105","110","2021-04-15 01:26:11.677","1000","21","Buy"
"1","106","111","2021-04-15 01:26:11.679","1002","47","Sell"
"1","107","112","2021-04-15 01:26:11.681","1001","21","Buy"
"1","108","-73","2021-04-15 01:26:11.687","1001","0","Sell"
"1","109","114","2021-04-15 01:26:11.689","1001","22","Buy"
"1","110","115","2021-04-15 01:26:11.692","999","42","Buy"
"1","111","116","2021-04-15 01:26:11.694","1000","168","Sell"
"1","112","-64","2021-04-15 01:26:11.698","1002","0","Sell"
"1","113","118","2021-04-15 01:26:11.700","999","31","Sell"
"1","114","119","2021-04-15 01:26:11.703","999","230","Sell"
"1","115","-90","2021-04-15 01:26:11.707","997","0","Buy"
"1","116","121","2021-04-15 01:26:11.709","999","228","Buy"
"1","117","122","2021-04-15 01:26:11.711","0","62","Buy"
"1","118","-79","2021-04-15 01:26:11.714","1002","0","Sell"
"1","119","124","2021-04-15 01:26:11.717","998","22","Buy"
"1","120","-121","2021-04-15 01:26:11.721","999","0","Buy"
"1","121","126","2021-04-15 01:26:11.724","999","29","Buy"
"1","122","127","2021-04-15 01:26:11.726","1001","71","Sell"
